, NR._x,DESCRIZIONE COMUNE,SIGLA_x,NOTE,POPOLAZIONE CENSITA UOMINI,POPOLAZIONE CENSITA DONNE,POPOLAZIONE CENSITA TOTALE, NR._y,SIGLA_y,CODICE ELETTORALE_x,CODICE ISTAT_x,CODICE BELFIORE_x, NR.,SIGLA,CODICE ELETTORALE_y,CODICE ISTAT_y,CODICE BELFIORE_y
0,1,ABANO TERME,PD,,9556,10567,20123,1,PD,1050540010,"=""028001""",A001,1,PD,1050540010,"=""028001""",A001
1,2,ABBADIA CERRETO,LO,,139,136,275,2,LO,1030990010,"=""098001""",A004,2,LO,1030990010,"=""098001""",A004
2,3,ABBADIA LARIANA,LC,,1565,1637,3202,3,LC,1030980010,"=""097001""",A005,3,LC,1030980010,"=""097001""",A005
3,4,ABBADIA SAN SALVATORE,SI,,2893,3130,6023,4,SI,2090750010,"=""052001""",A006,4,SI,2090750010,"=""052001""",A006
4,5,ABBASANTA,OR,,1267,1327,2594,5,OR,4200950010,"=""095001""",A007,5,OR,4200950010,"=""095001""",A007
5,6,ABBATEGGIO,PE,,186,177,363,6,PE,3130600010,"=""068001""",A008,6,PE,3130600010,"=""068001""",A008
6,7,ABBIATEGRASSO,MI,,15799,16584,32383,7,MI,1030490020,"=""015002""",A010,7,MI,1030490020,"=""015002""",A010
7,8,ABETONE CUTIGLIANO,PT,,941,961,1902,8,PT,2090630012,"=""047023""",M376,8,PT,2090630012,"=""047023""",M376
8,9,ABRIOLA,PZ,,639,678,1317,9,PZ,3170640010,"=""076001""",A013,9,PZ,3170640010,"=""076001""",A013
9,10,ACATE,RG,,5786,4795,10581,10,RG,4190650010,"=""088001""",A014,10,RG,4190650010,"=""088001""",A014
10,11,ACCADIA,FG,,1046,1136,2182,11,FG,3160310010,"=""071001""",A015,11,FG,3160310010,"=""071001""",A015
11,12,ACCEGLIO,CN,,78,79,157,12,CN,1010270010,"=""004001""",A016,12,CN,1010270010,"=""004001""",A016
12,13,ACCETTURA,MT,,813,835,1648,13,MT,3170470010,"=""077001""",A017,13,MT,3170470010,"=""077001""",A017
13,14,ACCIANO,AQ,,152,130,282,14,AQ,3130380010,"=""066001""",A018,14,AQ,3130380010,"=""066001""",A018
14,15,ACCUMOLI,RI,,285,262,547,15,RI,2120690010,"=""057001""",A019,15,RI,2120690010,"=""057001""",A019
15,16,ACERENZA,PZ,,1057,1073,2130,16,PZ,3170640020,"=""076002""",A020,16,PZ,3170640020,"=""076002""",A020
16,17,ACERNO,SA,,1270,1230,2500,17,SA,3150720010,"=""065001""",A023,17,SA,3150720010,"=""065001""",A023
17,18,ACERRA,,,28850,29644,58494,18,,3150510010,"=""063001""",A024,18,,3150510010,"=""063001""",A024
18,19,ACI BONACCORSI,CT,,1696,1829,3525,19,CT,4190210010,"=""087001""",A025,19,CT,4190210010,"=""087001""",A025
19,20,ACI CASTELLO,CT,,8605,9370,17975,20,CT,4190210020,"=""087002""",A026,20,CT,4190210020,"=""087002""",A026
20,21,ACI CATENA,CT,,13842,14282,28124,21,CT,4190210030,"=""087003""",A027,21,CT,4190210030,"=""087003""",A027
21,22,ACI SANT'ANTONIO,CT,,8986,9072,18058,22,CT,4190210050,"=""087005""",A029,22,CT,4190210050,"=""087005""",A029
22,23,ACIREALE,CT,,24653,26082,50735,23,CT,4190210040,"=""087004""",A028,23,CT,4190210040,"=""087004""",A028
23,24,ACQUAFONDATA,FR,,147,129,276,24,FR,2120330010,"=""060001""",A032,24,FR,2120330010,"=""060001""",A032
24,25,ACQUAFORMOSA,CS,,499,502,1001,25,CS,3180250010,"=""078001""",A033,25,CS,3180250010,"=""078001""",A033
25,26,ACQUAFREDDA,BS,,729,789,1518,26,BS,1030150010,"=""017001""",A034,26,BS,1030150010,"=""017001""",A034
26,27,ACQUALAGNA,PU,,2075,2107,4182,27,PU,2110590010,"=""041001""",A035,27,PU,2110590010,"=""041001""",A035
27,28,ACQUANEGRA CREMONESE,CR,,538,585,1123,28,CR,1030260010,"=""019001""",A039,28,CR,1030260010,"=""019001""",A039
28,29,ACQUANEGRA SUL CHIESE,MN,,1348,1388,2736,29,MN,1030450010,"=""020001""",A038,29,MN,1030450010,"=""020001""",A038
29,30,ACQUAPENDENTE,VT,,2594,2710,5304,30,VT,2120910010,"=""056001""",A040,30,VT,2120910010,"=""056001""",A040
30,31,ACQUAPPESA,CS,,862,881,1743,31,CS,3180250020,"=""078002""",A041,31,CS,3180250020,"=""078002""",A041
31,32,ACQUARO,VV,,912,979,1891,32,VV,3181030010,"=""102001""",A043,32,VV,3181030010,"=""102001""",A043
32,33,ACQUASANTA TERME,AP,,1272,1259,2531,33,AP,2110060010,"=""044001""",A044,33,AP,2110060010,"=""044001""",A044
33,34,ACQUASPARTA,TR,,2141,2295,4436,34,TR,2100800010,"=""055001""",A045,34,TR,2100800010,"=""055001""",A045
34,35,ACQUAVIVA COLLECROCE,CB,,295,290,585,35,CB,3140190010,"=""070001""",A050,35,CB,3140190010,"=""070001""",A050
35,36,ACQUAVIVA D'ISERNIA,IS,,194,183,377,36,IS,3140940010,"=""094001""",A051,36,IS,3140940010,"=""094001""",A051
